2019.03.21 07:33:45 INFO  web[][o.s.s.e.IndexCreator] Create index rules
2019.03.21 07:33:45 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2019.03.21 07:33:45 INFO  web[][o.s.s.e.IndexCreator] Create index issues
2019.03.21 07:33:46 INFO  web[][o.s.s.e.IndexCreator] Create type issues/auth
2019.03.21 07:33:46 INFO  web[][o.s.s.e.IndexCreator] Create index users
2019.03.21 07:33:46 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2019.03.21 07:33:46 INFO  web[][o.s.s.e.IndexCreator] Create index views
2019.03.21 07:33:46 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2019.03.21 07:33:46 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AWmfK31LamemwtZVPGOD
2019.03.21 07:33:46 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2019.03.21 07:33:47 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2019.03.21 07:33:47 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2019.03.21 07:33:47 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2019.03.21 07:33:47 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2019.03.21 07:33:47 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2019.03.21 07:33:47 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2019.03.21 07:33:47 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2019.03.21 07:33:47 INFO  web[][o.s.s.r.RegisterRules] Register rules
2019.03.21 07:34:11 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2019.03.21 07:34:14 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2019.03.21 07:34:14 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile css/Sonar way
2019.03.21 07:34:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile scala/Sonar way
2019.03.21 07:34:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile jsp/Sonar way
